event_id,start_idx,end_idx,start_date,end_date,duration,magnitude,intensity,peak,peak_idx,peak_date,interarrival
1,44,54,1961-09-01,1962-07-01,11,4.158311367034912,0.37802830609408294,-1.9767407178878784,46,1961-11-01,49.0
2,93,96,1965-10-01,1966-01-01,4,1.5631792545318604,0.3907948136329651,-1.8837605714797974,94,1965-11-01,84.0
3,177,179,1972-10-01,1972-12-01,3,1.0602052211761475,0.35340174039204914,-1.761784553527832,178,1972-11-01,49.0
4,226,239,1976-11-01,1977-12-01,14,3.0156633853912354,0.2154045275279454,-1.726251244544983,238,1977-11-01,43.0
5,269,274,1980-06-01,1980-11-01,6,0.8423449993133545,0.14039083321889242,-1.5389187335968018,272,1980-09-01,29.0
6,298,308,1982-11-01,1983-09-01,11,4.622329235076904,0.4202117486433549,-2.2248146533966064,302,1983-03-01,56.0
7,354,358,1987-07-01,1987-11-01,5,2.3811168670654297,0.47622337341308596,-1.7955036163330078,356,1987-09-01,10.0
8,364,368,1988-05-01,1988-09-01,5,0.6012024879455566,0.12024049758911133,-1.4482706785202026,366,1988-07-01,39.0
9,403,405,1991-08-01,1991-10-01,3,0.7814936637878418,0.2604978879292806,-1.601405382156372,404,1991-09-01,130.0
10,533,539,2002-06-01,2002-12-01,7,2.373208999633789,0.3390298570905413,-1.9673033952713013,537,2002-10-01,35.0
11,568,570,2005-05-01,2005-07-01,3,0.21271812915802002,0.07090604305267334,-1.38907790184021,570,2005-07-01,109.0
12,677,683,2014-06-01,2014-12-01,7,3.3137354850769043,0.4733907835824149,-1.9056628942489624,680,2014-09-01,114.0
13,791,793,2023-12-01,2024-02-01,3,0.22149181365966797,0.07383060455322266,-1.3515187501907349,793,2024-02-01,4.0
14,795,800,2024-04-01,2024-09-01,6,1.324794888496399,0.22079914808273315,-1.5726383924484253,799,2024-08-01,
